text_type;text
cdiNameSufix;Wersja adaptatywna dla rodziców młodszych dzieci
rozumienieHeader;Rozumienie
gestyHeader;Czynności i gesty
mowaHeader;Mowa
continueBtn;Dalej
additionalEndMessageFromDatabaseText;Poniżej znajdą Państwo voucher do Empika. Prosimy pamiętac o skopiowaniu go przed zamknięciem lub odświeżeniem strony. <br><br>
longText;Kilka dni temu prosiliśmy Państwa o wypełnienie IRMIKa — kwestionariusza, w którym rodzice (lub inni opiekunowie) zaznaczają na liście słów te, które ich dziecko rozumie lub nawet samo mówi, a na liście gestów te, za pomocą których ich dziecko się porozumiewa. Jest to prosta i uznana na świecie metoda badania rozwoju mowy i komunikacji małych dzieci. Ma niestety jednak jedną istotną wadę: listy wyrazów i gestów są długie i wypełnienie całego inwentarza jest w związku z tym bardzo żmudne i czasochłonne. Opracowaliśmy więc nowoczesną, tzw. adaptatywną, wersję IRMIKa, w której kolejny wyraz lub gest wybierany jest przez komputer na podstawie dotychczasowych odpowiedzi w taki sposób, żeby jak najlepiej „dopasować się” do danego dziecka. Dzięki temu osoby wypełniające IRMIKa nie muszą przeglądać pełnej listy. Wystarczy odpowiedź rodziców na kilkadziesiąt, a czasem nawet kilkanaście słów lub gestów, co skraca czas wypełniania do zaledwie kilku minut! Dzięki temu, że wypełnią Państwo teraz ponownie IRMiKa (tym razem w wersji skróconej), będziemy mogli ocenić, na ile adaptatywne IRMIKi będą mogły w przyszłości zastąpić wersje tradycyjne. Bardzo dziękujemy za Państwa zaangażowanie!
rozumienieLongText;Po kliknięciu przycisku ‚Dalej’ zobaczą Państwo typowe wyrazy znane małym dzieciom i przy każdym będą Państwo proszeni o odpowiedź na pytanie, czy Państwa dziecko rozumie to słowo. Proszę pamiętać, że IRMIK opiera się na wiedzy rodziców (lub innych opiekunów) na temat rozwoju językowego dzieci. Proszę nie przepytywać dziecka. Wystarczy, gdy odpowiedzą Państwo na pytania według własnej wiedzy o dziecku. Na końcu pojawi się pole, które mogą Państwo wykorzystać, żeby podzielić się z nami swoimi uwagami.
gestyLongText;Kiedy dzieci uczą się porozumiewać z innymi ludźmi, często posługują się gestami, aby wyrazić swoje pragnienia. Często też naśladują dorosłych nie tylko w mowie, ale również w zabawie, udając np. czynności opiekuńcze. Przy każdym z gestów i każdej z czynności, które pojawią się po kliknięciu przycisku ‚Dalej’, proszę zaznaczyć ‚tak’ przy tym określeniu, które pasuje do tego, co Państwa dziecko aktualnie robi. Na końcu pojawi się pole, które mogą Państwo wykorzystać, żeby podzielić się z nami swoimi uwagami.
mowaLongText;"Po kliknięciu przycisku ‚Dalej’ zobaczą Państwo typowe wyrazy znane małym dzieciom i przy każdym będą Państwo proszeni o odpowiedź na pytanie, czy Państwa dziecko mówi to słowo spontanicznie. Nie chodzi o to, co dziecko jest w stanie powtórzyć, ale o słowa, których samo z siebie używa. Proszę zaznaczyć ‚tak’ tylko przy tych słowach, które słyszeli Państwo od swego dziecka. Jeżeli dziecko używa nieco innej formy, np. mówi „piesek”, a nie „pies”, proszę mimo to zaznaczyć ‚tak’ przy słowie „pies”. Tak samo należy postąpić, jeśli dziecko wymawia jakieś słowo inaczej (np. „lybka” zamiast „rybka” lub „wiójka” zamiast „wiewiórka”). Proszę wtedy również zaznaczyć ‚tak’. Czasami dzieci wymyślają własne wyrazy, np. „dzi” zamiast „piłka”; także taką formę należy potraktować jako wyraz i zaznaczyć ‚tak’ przy słowie „piłka”. Podobnie, jeśli w rodzinie funkcjonuje inne określenie niż podane w kwestionariuszu, proszę zaznaczyć odpowiednią pozycję. Jeśli będą Państwo chcieli, w polu na uwagi, które pojawi się na końcu, mogą Państwo wpisać wszystkie te wyrazy w takiej formie, w jakiej ich Państwa dziecko używa. Mogą Państwo również wykorzystać to pole, żeby podzielić się z nami wszelkimi innymi uwagami. Proszę pamiętać, że IRMIK opiera się na wiedzy rodziców (lub innych opiekunów) na temat rozwoju językowego dzieci. Proszę nie przepytywać dziecka ani go nie prosić o powtarzanie poszczególnych wyrazów. Wystarczy, gdy odpowiedzą Państwo na pytania według własnej wiedzy o dziecku."